"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"-19.249.682,46.807.805,30.778.325,-14.721.768,2.947.986,24.355.695,27.129.033,Good"
"-24.097.514,48.686.993,34.692.144,-24.950.993,-8.922.133,20.675.488,30.732.512,Good"
"-3.576.066,14.831.762,15.684.522,-26.451.454,-64.726.734,30.906.434,1.427.322,Good"
"-8.685.235,15.662.014,18.896.049,-12.737.614,-10.062.776,18.730.015,47.786.173,Good"
"65.182.525,13.191.992,-22.458.995,-12.097.088,-1.430.692,10.783.454,28.124.418,Good"
"-28.077.223,11.381.357,34.476.268,-17.133.021,-22.209.115,207.941,22.812.028,Good"
"-23.020.804,27.834.713,16.811.839,-52.977.854,-19.584.678,13.481.431,21.817.663,Good"
"-13.485.153,32.322.812,40.118.165,-89.060.634,-31.993.963,23.959.174,10.428.779,Good"
"-20.122.256,19.280.338,69.874.644,-95.977.193,-13.497.207,13.118.018,1.048.762,Good"
"5.303.478,13.099.926,-26.413.944,-29.692.972,30.398.348,38.893.588,19.313.319,Good"
"-15.878.931,14.466.584,13.883.868,-28.589.776,-17.612.225,24.337.273,17.631.273,Good"
"-20.318.587,13.767.682,22.734.401,-22.057.126,41.215.587,3.757.726,31.004.484,Good"
"20.621.698,15.615.295,25.703.752,-18.647.795,-44.219.488,22.499.652,470.331,Good"
"-8.612.225,14.269.999,3.349.791,-22.131.119,-18.131.022,-7.608.548,37.977.022,Good"
"-41.782.064,-14.760.928,-32.664.933,-5.056.084,-38.299.162,4.167.432,-4.254.814,Good"
"6.720.292,5.434.333,9.294.259,-39.155.004,-22.510.463,33.923.051,-2.020.209,Good"
"-19.652.935,-6.748.736,26.001.945,-17.930.973,-16.579.864,10.869.076,2.335.015,Good"
"-75.078.644,-32.328.963,1.400.618,-32.961.037,-30.071.628,46.619.506,37.652.652,Good"
"-13.775.163,21.693.177,-15.365.404,-14.166.676,-15.577.567,12.197.089,-90.748.984,Good"
"-26.386.886,11.865.532,-14.018.704,-37.368.288,-20.294.611,48.920.465,32.929.387,Good"
"-9.311.694,11.777.104,89.091.116,-18.020.406,-21.664.832,15.169.458,18.993.784,Good"
"-38.369.079,5.578.959,13.221.027,-2.521.762,-2.236.847,18.079.835,27.550.628,Good"
"-26.858.735,18.199.899,-19.306.365,-32.482.877,-2.349.118,27.094.333,82.303.256,Good"
"-8.328.398,6.344.345,28.857.996,-1.018.919,-1.476.629,9.706.835,18.400.067,Good"
"-31.228.814,10.179.654,22.803.372,-29.720.967,-4.207.438,25.808.916,17.806.565,Good"
"-30.034.049,10.087.419,-11.234.081,-37.168.279,-1.062.249,2.819.539,9.773.285,Good"
"-26.829.426,24.876.592,37.213.984,-6.544.591,-26.873.171,-10.071.023,96.581.537,Good"
"-11.208.215,19.597.522,4.935.457,39.535.955,85.833.013,108.647.116,4.072.192,Good"
"-47.838.327,12.760.094,20.892.775,-27.186.796,-9.304.542,12.834.822,38.400.788,Good"
"-86.329.377,15.216.107,65.520.644,-17.112.573,-12.056.047,11.121.173,1.385.283,Good"
"-29.425.454,41.651.745,4.116.252,11.000.674,-51.583.266,31.105.503,39.153.466,Good"
"-20.997.488,26.557.343,37.363.532,26.017.938,-14.914.467,16.045.741,1.566.754,Good"
"-6.290.621,-11.900.727,-9.646.924,-332.293,-81.536.734,32.947.304,27.460.663,Good"
"41.476.723,20.088.277,14.025.054,-29.866.266,-10.982.995,30.836.601,2.562.751,Good"
"12.703.153,9.620.107,30.475.273,-9.861.873,-16.270.043,6.567.175,11.196.171,Good"
"-12.031.333,97.479.504,-6.503.354,-1.150.843,-23.666.263,8.485.617,8.182.539,Good"
"-4.211.566,15.446.515,-3.322.268,-2.151.898,-99.462.783,2.921.428,44.979.033,Good"
"-13.989.041,39.393.508,-27.173.197,-22.843.776,9.796.421,32.916.296,3.144.834,Good"
"13.131.926,31.774.974,31.416.597,-18.903.553,906.839,19.823.018,17.829.945,Good"
"-10.486.193,2.855.341,29.560.695,-21.022.905,-11.585.953,-76.327.646,2.417.499,Good"
"-21.489.315,37.268.108,5.752.867,-12.867.559,-17.780.541,6.097.318,2.496.089,Good"
"12.775.885,2.064.319,-14.597.735,-21.894.975,-29.149.663,31.445.234,15.832.014,Good"
"81.320.274,6.595.437,7.825.623,-33.102.274,-28.911.766,4.572.766,-37.966.096,Good"
"5.418.704,22.706.356,3.539.384,-8.143.026,-22.390.342,10.064.654,15.483.972,Good"
"-10.602.585,26.419.249,56.155.205,-5.174.054,-84.272.516,18.707.907,20.033.648,Good"
"-76.401.794,3.623.507,25.921.612,23.266.202,-15.511.798,40.990.207,30.356.536,Good"
"-19.275.926,23.332.498,22.750.895,-1.835.586,-32.808.205,30.912.902,30.695.364,Good"
"-2.307.549,42.682.085,17.684.859,14.414.307,-19.176.039,-13.850.893,18.163.822,Good"
"-2.235.228,2.086.115,15.581.323,-63.985.485,-8.065.315,16.078.132,9.669.991,Good"
"-22.399.275,34.970.486,-10.209.738,-3.189.852,-2.015.989,2.782.064,34.498.534,Good"
"-10.939.649,2.115.486,627.494,-3.010.946,-87.893.283,35.145.106,12.870.898,Good"
"-15.848.736,11.412.693,26.413.124,-15.674.331,-3.017.377,17.166.394,28.590.853,Good"
"1.301.885,21.030.438,20.964.906,-30.808.299,-20.849.186,30.708.973,32.798.793,Good"
"-18.029.919,1.090.242,4.598.802,-41.859.818,-20.706.336,-6.700.485,80.425.745,Good"
"-7.785.211,2.661.888,22.465.212,-6.694.054,19.072.337,21.199.536,57.911.854,Good"
"-18.070.496,22.535.233,77.893.764,-2.177.644,-11.563.478,18.797.076,-59.566.134,Good"
"-55.796.605,45.616.794,3.118.131,2.906.523,62.079.465,11.600.988,3.225.704,Good"
"-4.202.988,6.919.126,-20.484.893,-3.467.168,-17.508.391,23.759.565,-12.997.978,Good"
"-24.109.044,59.545.654,50.815.797,-14.031.982,-19.819.083,-12.064.563,23.628.628,Good"
"-15.973.054,26.318.626,27.658.656,-59.794.694,-90.556.407,17.743.361,13.934.853,Good"
"-513.809,37.907.465,2.958.101,75.105.496,7.074.974,13.386.183,17.701.725,Good"
"2.826.704,17.075.797,19.392.766,-56.809.497,10.187.624,11.955.215,16.833.619,Good"
"-10.995.919,8.593.649,835.717,-2.552.994,-23.320.339,37.535.954,-7.011.551,Good"
"-4.948.808,93.566.686,-16.275.799,-16.724.465,-25.702.748,2.750.443,1.645.361,Good"
"-4.105.686,24.555.068,92.307.377,-19.568.748,-672.149,34.978.075,3.309.398,Good"
"-40.402.406,310.953,31.287.723,10.451.561,-34.750.805,1.705.066,27.891.192,Good"
"-20.773.413,1.144.665,99.968.106,-12.217.112,-15.898.217,2.475.704,32.753.227,Good"
"-1.114.718,13.970.324,5.055.361,-10.804.302,-15.849.184,13.711.902,15.309.047,Good"
"-34.529.247,9.886.074,3.114.508,-13.971.417,-33.569.298,-50.514.704,13.034.217,Good"
"-7.958.462,34.137.633,4.887.233,-14.823.445,91.091.406,14.387.541,16.295.414,Good"
"-13.280.383,10.011.656,15.192.918,-3.259.573,-27.055.087,16.863.799,-76.770.055,Bad"
"-42.352.772,-1.272.162,21.509.259,-29.307.272,-2.044.994,3.099.931,15.730.361,Good"
"-223.278,31.739.004,25.670.018,-87.594.354,-5.252.189,1.694.425,2.218.383,Good"
"-1.912.078,2.941.901,32.589.757,-6.817.139,-16.035.117,5.865.748,15.570.415,Good"
"-34.626.417,-34.003.803,-89.380.836,-34.818.168,-10.243.345,30.938.756,10.058.268,Good"
"-79.439.676,35.899.599,-16.264.154,-13.037.766,-5.913.014,12.802.206,17.860.014,Good"
"-16.085.894,15.771.962,-66.187.054,-24.760.325,-88.641.894,1.843.599,3.807.547,Good"
"-2.447.293,6.028.015,2.931.319,-3.535.531,-27.237.985,51.352.876,26.095.998,Good"
"-19.222.751,13.381.965,22.615.843,-21.953.456,-24.766.881,2.683.758,89.553.195,Good"
"-29.754.953,2.811.489,18.469.777,968.528,-15.641.054,-1.378.567,6.768.992,Good"
"-9.803.863,-6.422.919,-23.512.745,-4.571.186,-15.687.047,22.056.966,-11.833.569,Good"
"69.889.355,25.048.325,18.238.235,-2.008.248,-10.939.082,17.086.054,8.159.954,Good"
"-54.405.242,26.568.005,-6.609.856,-17.404.498,-16.676.546,35.622.375,62.452.865,Good"
"-9.973.927,81.629.497,-817.204,-16.438.204,-10.963.683,18.166.277,3.025.631,Good"
"-8.225.021,21.479.146,-92.279.583,-3.566.991,-10.592.365,34.419.782,-47.262.466,Good"
"-18.377.597,12.029.997,-14.979.208,-25.042.362,-2.194.379,32.342.901,2.077.403,Good"
"-39.041.755,14.351.233,22.473.102,-82.716.334,-28.917.527,14.106.631,1.346.283,Good"
"-21.285.598,16.567.165,71.079.195,-36.291.943,-24.908.486,19.910.322,-4.178.118,Good"
"-5.928.164,-1.690.181,13.613.776,-26.591.895,-10.305.489,12.555.294,11.610.047,Good"
"-11.147.463,14.924.884,-11.701.699,-28.165.054,-17.083.213,42.568.345,33.803.442,Good"
"-47.566.457,19.655.027,34.235.988,15.348.528,-15.636.513,-7.968.362,21.032.877,Good"
"44.522.202,23.323.624,-2.027.212,-43.251.395,-87.438.536,53.147.044,30.462.295,Good"
"-13.743.073,11.125.576,24.822.357,-13.769.253,-2.001.956,13.620.547,132.568,Good"
"-971.073,9.045.014,268.317,-7.548.262,-26.919.277,9.134.312,14.241.499,Good"
"-8.302.561,4.787.825,-57.946.093,-32.177.987,-12.429.042,21.125.336,26.473.258,Good"
"121.320.225,76.031.965,15.446.274,-21.849.353,-5.549.847,10.708.326,15.648.019,Good"
"-35.437.462,26.771.672,-11.856.652,-15.670.794,-37.911.987,10.346.137,15.805.278,Good"
"-4.507.721,13.558.882,13.178.592,-35.803.246,-28.080.506,2.993.408,25.310.383,Good"
"-60.026.705,92.381.287,28.551.319,-3.826.783,-7.552.101,36.800.227,-3.077.271,Good"
"-48.197.417,5.910.767,-18.606.715,-56.447.473,-39.047.296,48.813.753,-10.211.824,Good"
"8.241.759,20.125.287,3.394.634,-2.070.216,10.832.114,2.920.262,33.381.643,Good"
"-28.084.517,1.282.176,29.265.707,5.833.669,-14.257.531,-18.206.502,2.721.213,Good"
"-85.860.264,1.346.637,-29.224.567,-15.868.679,-5.137.122,23.999.214,10.771.787,Good"
"3.492.773,10.683.329,51.152.954,-1.086.893,-95.647.573,45.261.645,32.445.483,Good"
"-31.699.286,2.145.649,2.832.365,-68.661.034,-14.890.603,15.915.188,12.124.728,Good"
"-3.057.971,32.393.732,26.781.635,-2.355.711,-1.459.471,3.821.086,46.559.043,Good"
"43.848.327,13.340.735,62.110.777,-12.372.898,-65.810.794,21.813.428,14.192.934,Good"
"-20.764.382,21.851.025,-96.396.226,-7.695.772,-15.635.664,6.462.993,65.738.285,Good"
"-85.361.195,21.376.646,11.167.257,-76.099.163,-1.238.461,11.500.521,11.388.779,Good"
"-64.885.306,1.570.433,13.141.017,-5.390.179,-18.061.763,20.671.477,28.896.835,Good"
"-13.033.915,1.183.802,21.584.836,-11.780.521,-11.767.157,30.023.864,-99.681.914,Good"
"-10.644.978,-6.078.955,-4.436.634,-28.468.864,-10.582.559,14.363.941,17.590.227,Good"
"62.672.836,21.583.097,-18.770.518,-3.470.815,5.718.764,45.440.407,436.394,Good"
"-24.231.179,11.788.528,6.279.821,-24.664.502,-2.445.138,24.399.285,1.967.123,Good"
"-18.000.461,22.619.655,3.490.902,-17.016.886,-86.204.565,-27.408.374,-4.536.354,Good"
"20.182.168,18.789.121,-124.566,-19.966.671,-12.059.587,32.209.628,10.472.418,Good"
"-31.367.943,13.295.879,18.558.487,-24.042.783,-72.643.137,49.775.915,323.558,Good"
"-2.280.882,2.178.614,3.091.392,-69.986.916,-23.693.504,12.827.466,7.485.025,Good"
"-14.946.109,12.018.055,29.947.062,-8.828.099,6.056.775,60.955.817,296.357,Good"
"-23.183.367,2.625.387,9.199.419,-8.252.629,-16.976.041,14.871.346,22.387.254,Good"
"-15.332.863,21.582.124,24.879.007,-42.717.168,-8.953.322,23.692.038,18.710.176,Good"
"10.922.277,8.040.858,18.207.008,-18.203.652,-11.220.391,28.775.687,2.135.019,Good"
"18.776.073,21.966.295,243.181,-38.974.217,-57.867.806,15.364.798,36.584.926,Good"
"-29.999.397,62.083.673,-17.554.306,-53.080.783,-86.778.563,42.522.964,17.166.535,Good"
"-15.818.592,1.991.925,1.330.747,-15.859.709,-64.518.765,21.430.635,15.402.575,Good"
"-8.250.334,19.650.205,32.766.235,-14.874.048,-62.889.737,4.671.731,1.203.214,Good"
"-28.286.357,23.917.545,-59.486.274,-3.180.651,-32.035.835,28.084.362,-20.437.452,Good"
"2.216.972,64.814.115,-14.074.951,-2.624.014,-19.373.468,38.063.734,16.386.757,Good"
"-64.564.145,88.212.687,15.268.301,-40.976.076,-11.717.429,53.997.602,25.770.786,Good"
"4.656.404,17.895.194,-18.207.821,-20.738.983,-6.718.816,34.880.207,60.097.957,Good"
"-30.871.227,19.100.325,2.039.586,-23.302.286,-19.503.677,13.050.455,21.772.149,Good"
"-16.794.618,10.035.683,-12.122.339,-32.483.675,-1.258.004,4.603.884,13.581.582,Good"
"-14.629.126,17.819.173,-29.209.285,-32.375.154,-15.621.693,6.477.786,37.441.542,Good"
